Lisker Avenue	Otley	LS21	53.9017	-1.6826	1:IDBT;2:IDBW;3:IDBY;4:IDC1;5:IDBK;6:IDBE;7:IDBH;8:IDBJ;9:IDBM;10:IDBO;11:IDBC;12:IDCK;13:IDCN;14:IDCO;15:IDCR;16:KAGQ;17:IDC8;18:E72S;19:IDC7;21:IDC3;
Lisker Court	Otley	LS21	53.9023	-1.6851	1:IEPJ;2:IEP1;3:LR2Q;4:E73H;5:LHJP;6:IEPA;7:IB59;8:HGIA;9:JENV;10:LVYV;11:IDBR;
Lisker Drive	Otley	LS21	53.9020	-1.6826	1:LR2A;3:IDCE;4:E730;5:KDRA;6:IEMT;7:IEMQ;8:J7IQ;9:MGGA;10:IEML;11:IEMH;12:IEMK;13:IEMF;14:KDR9;15:IEMO;16:JBIN;17:IEQR;18:JBIO;19:E73Q;20:I9O1;22:IEQU;24:E82R;26:J7IX;28:J7J1;30:JBIM;31:E73P;32:IEMP;33:IEOM;34:IEOX;35:JAJO;36:IEOT;37:IEOW;38:IDNG;39:IDNJ;40:IEOR;41:IEPF;42:IEPI;43:E73K;44:IEPN;46:IEMD;GARAGE SITE BETWEEN 37 AND 39:IEOP;
Lismore Close	Rothwell	LS26	53.7478	-1.4710	1:IXW3;2:GDN1;3:IURI;4:GDMY;5:IXW9;6:M357;7:G6XX;8:H5WO;9:G6XW;10:H5WQ;11:G6XV;
Lister Hill	Horsforth	LS18	53.8453	-1.6324	6:G28S;8:G28V;10:FV93;12:FS2B;14:G2I5;22:LX0L;24:L9J4;26:FR4S;28:G1QB;30:G1QM;1 GREATMINISTER HOUSE:O9K0;10 GREATMINISTER HOUSE:O9K6;11 GREATMINISTER HOUSE:O9K7;12 GREATMINISTER HOUSE:O9K8;13 GREATMINISTER HOUSE:O9K9;14 GREATMINISTER HOUSE:O9KA;15 GREATMINISTER HOUSE:O9KB;16 GREATMINISTER HOUSE:O9KC;17 GREATMINISTER HOUSE:O9KD;18 GREATMINISTER HOUSE:O9KE;19 GREATMINISTER HOUSE:O9KF;2 GREATMINISTER HOUSE:O9JZ;20 GREATMINISTER HOUSE:O9KG;21 GREATMINISTER HOUSE:O9KH;3 GREATMINISTER HOUSE:O9JY;4 GREATMINISTER HOUSE:O9JX;5 GREATMINISTER HOUSE:O9K1;6 GREATMINISTER HOUSE:O9K2;7 GREATMINISTER HOUSE:O9K3;8 GREATMINISTER HOUSE:O9K4;9 GREATMINISTER HOUSE:O9K5;GARAGE SITE:G1Q7;
Lister Walk	Morley	LS27	53.7545	-1.6080	1:IG9I;2:M8JI;3:I2E8;4:L1OD;5:IXAI;6:L1OM;7:HLCQ;8:F0IA;9:HD76;10:F1Q0;11:HD75;12:I32F;14:I32B;15:IUS8;16:I32A;17:IJ63;19:IUS6;
Little Church Lane	Methley	LS26	53.7354	-1.4091	1:LBQE;3:IOJT;5:INS5;7:INS8;9:M8IO;11:IM4S;17:FTFK;19:EXTV;21:IMEW;23:IMF0;25:EYPN;27:IOWH;29:IOWL;31:IOW2;33:IOW7;35:IM48;37:IM4H;39:IOWT;41:IOWQ;43:IOWY;45:IKNZ;1315:IM50;
LITTLE LANE	CALVERLEY	LS28	53.8298	-1.6892	FLAT ABOVE GARAGE THE OLD WORKSHOP:NV2V;THE OLD WORKSHOP:G32F;
Little Lane	Carlton	WF3	53.7409	-1.4857	1:IQAL;2:IQAP;2:IU83;
Little Lane	Churwell	LS27	53.7617	-1.5872	1:GFL4;3:GFL2;5:GFL0;7:GFKZ;9:F4J0;11:GFKX;
Little Lane Court	Churwell	LS27	53.7620	-1.5870	1:J6NF;1:J6NG;2:MC00;3:E7NJ;4:MAT2;
Little Moor Close	Pudsey	LS28	53.7910	-1.6675	1:JHM3;2:JHM4;3:JHM5;4:JHM6;5:JHM7;6:JHM8;7:JHM9;
