Loxley Grove	Wetherby	LS22	53.9409	-1.3923	1:FHSM;2:FHSN;3:FHSP;4:IEX5;5:FHSR;6:FHSS;7:FISO;8:FISQ;
Lyddon Terrace	Woodhouse	LS2	53.8077	-1.5591	11:L83B;13:KWDO;33:KWCH;35:FCVH;1519:FXQY;3741:M5PI;ELLERSLIE HALL, 3034:J9U3;FIRST FLOOR FLAT, 7:J9TV;FIRST FLOOR FLAT, 25:J9U1;FLAT 1, 9:LAIT;FLAT 1, 11:J9TX;FLAT 1, 25:J9U0;FLAT 1, 33:JBMY;FLAT 2, 9:J9TW;FLAT 2, 11:J9TY;FLAT 2, 33:MHDU;FLAT 3, 11:JBMX;FLAT 3, 33:J9U2;FLAT 4, 11:J9TZ;FLAT GO1, 13:EYEM;FLAT GO2, 13:KBVG;GROUND FLOOR FLAT, 7:JBMW;ROOM 1 1, 35:LYJD;ROOM 1 2, 35:LYJE;ROOM 1 ELLERSLIE HALL, 3034:DDUR;ROOM 10 ELLERSLIE HALL, 3034:DDV0;ROOM 100, 3741:DASS;ROOM 101, 3741:DAST;ROOM 10A ELLERSLIE HALL, 3034:D9XK;ROOM 10B ELLERSLIE HALL, 3034:MOU5;ROOM 11 ELLERSLIE HALL, 3034:DE2M;ROOM 12 ELLERSLIE HALL, 3034:DE2N;ROOM 13 ELLERSLIE HALL, 3034:DE2O;ROOM 14 ELLERSLIE HALL, 3034:DE2P;ROOM 15 ELLERSLIE HALL, 3034:DE2Q;ROOM 16 ELLERSLIE HALL, 3034:DE2R;ROOM 17 ELLERSLIE HALL, 3034:DE2S;ROOM 18 ELLERSLIE HALL, 3034:DE2T;ROOM 19 ELLERSLIE HALL, 3034:DE2U;ROOM 2 1, 35:LYJF;ROOM 2 2, 35:LYJG;ROOM 2 3, 35:LYJH;ROOM 2 ELLERSLIE HALL, 3034:DDUS;ROOM 20 ELLERSLIE HALL, 3034:DE2V;ROOM 21 ELLERSLIE HALL, 3034:DE2W;ROOM 22 ELLERSLIE HALL, 3034:DE2X;ROOM 23 ELLERSLIE HALL, 3034:DE2Y;ROOM 24 ELLERSLIE HALL, 3034:DE2Z;ROOM 25 ELLERSLIE HALL, 3034:DE30;ROOM 26 ELLERSLIE HALL, 3034:DE31;ROOM 27 ELLERSLIE HALL, 3034:DE32;ROOM 28 ELLERSLIE HALL, 3034:DE33;ROOM 29 ELLERSLIE HALL, 3034:DE34;ROOM 3 1, 11:LKKI;ROOM 3 1, 13:JFCG;ROOM 3 1, 35:LYJI;ROOM 3 2, 11:LKKJ;ROOM 3 2, 13:JFCH;ROOM 3 2, 35:LYJJ;ROOM 3 3, 11:LKKK;ROOM 3 3, 13:JFCI;ROOM 3 3, 35:LYJK;ROOM 3 4, 11:LKKL;ROOM 3 4, 13:JFCJ;ROOM 3 ELLERSLIE HALL, 3034:DDUT;ROOM 30 ELLERSLIE HALL, 3034:DE35;ROOM 31 ELLERSLIE HALL, 3034:DE36;ROOM 32 ELLERSLIE HALL, 3034:DE37;ROOM 33 ELLERSLIE HALL, 3034:DE38;ROOM 34 ELLERSLIE HALL, 3034:DEQD;ROOM 35 ELLERSLIE HALL, 3034:DEQE;ROOM 36 ELLERSLIE HALL, 3034:DEQF;ROOM 37 ELLERSLIE HALL, 3034:DEQG;ROOM 38 ELLERSLIE HALL, 3034:DEQH;ROOM 39 ELLERSLIE HALL, 3034:DEQI;ROOM 4 1, 11:LICP;ROOM 4 1, 13:JFCK;ROOM 4 2, 11:LICQ;ROOM 4 2, 13:JFCL;ROOM 4 3, 11:LICR;ROOM 4 3, 13:JFCM;ROOM 4 4, 11:LICS;ROOM 4 4, 13:JFCN;ROOM 4 ELLERSLIE HALL, 3034:DDUU;ROOM 40 ELLERSLIE HALL, 3034:DEQJ;ROOM 41 ELLERSLIE HALL, 3034:DEQK;ROOM 42 ELLERSLIE HALL, 3034:DEQL;ROOM 43 ELLERSLIE HALL, 3034:D9XG;ROOM 44 ELLERSLIE HALL, 3034:D9XH;ROOM 45 ELLERSLIE HALL, 3034:D9XI;ROOM 46 ELLERSLIE HALL, 3034:D9XJ;ROOM 47L, 1519:DC41;ROOM 48L, 1519:DC42;ROOM 49L, 1519:DC43;ROOM 5 ELLERSLIE HALL, 3034:DDUV;ROOM 50L, 1519:DC44;ROOM 51L, 1519:DC45;ROOM 52L, 1519:DC46;ROOM 53L, 1519:DC47;ROOM 54L, 1519:DC48;ROOM 55L, 1519:DC49;ROOM 56L, 1519:DC4A;ROOM 57L, 1519:DC4B;ROOM 58L, 1519:DC4C;ROOM 59L, 1519:DCZR;ROOM 6 ELLERSLIE HALL, 3034:DDUW;ROOM 60L, 1519:DCZS;ROOM 61L, 1519:DCZT;ROOM 62L, 1519:DCZU;ROOM 63L, 1519:DCZV;ROOM 64L, 1519:DCZW;ROOM 7 ELLERSLIE HALL, 3034:DDUX;ROOM 73, 3741:DCZY;ROOM 74, 3741:DCZZ;ROOM 75, 3741:DD00;ROOM 76, 3741:DD01;ROOM 77, 3741:DD02;ROOM 78, 3741:DD03;ROOM 79, 3741:DD04;ROOM 8 ELLERSLIE HALL, 3034:DDUY;ROOM 80, 3741:DD05;ROOM 81, 3741:DD06;ROOM 82, 3741:DD07;ROOM 82A, 3741:DDOV;ROOM 83, 3741:DD08;ROOM 84, 3741:DD09;ROOM 85, 3741:DD0A;ROOM 86, 3741:DD0B;ROOM 87, 3741:DD0C;ROOM 88, 3741:D9XM;ROOM 89, 3741:D9XN;ROOM 9 ELLERSLIE HALL, 3034:DDUZ;ROOM 90, 3741:D9XO;ROOM 91, 3741:D9XP;ROOM 92, 3741:D9XQ;ROOM 92A, 3741:DDOW;ROOM 93, 3741:D9XR;ROOM 94, 3741:D9XS;ROOM 95, 3741:DALC;ROOM 96, 3741:DASO;ROOM 97, 3741:DASP;ROOM 98, 3741:DASQ;ROOM 99, 3741:DASR;ROOM 9A ELLERSLIE HALL, 3034:DCJ6;ROOMS AT, 13:EYEL;WARDENS FLAT ELLERSLIE HALL, 3034:LBBZ;
Lydgate	Burmantofts	LS9	53.8045	-1.5160	1:HG7L;2:HG7N;3:HEOE;4:JBBF;5:HEOI;6:HEO7;7:HEO8;8:HEO5;9:HEOA;10:ICZI;11:ICZQ;12:F1W0;14:F1N0;15:HEKI;16:HEOP;17:HEAA;18:HEAE;19:HE9X;20:F1MZ;21:HEA1;22:HEA4;23:HEO3;24:HENV;25:HEO0;26:HEO2;27:HEAP;28:JDIU;29:ICRI;30:ICRF;31:ICR9;32:JCKB;33:JCKE;34:LMXA;35:IDSH;36:IDSU;37:IDSD;38:F1WF;39:ICQF;40:IDSM;41:LUZW;42:LW7X;43:ICQC;44:ICQ7;45:IAGD;46:ICQY;47:ICR5;48:JCK8;49:ICR1;50:IAGH;51:ICQS;52:ICQV;53:F1MS;54:HEHY;56:HEHV;58:JB6O;60:HEHJ;62:HE86;64:HEID;66:HEIG;68:HEIF;70:HEI1;72:HEHZ;74:HEI7;76:HEHM;78:IE2R;80:IE2V;GARAGE SITE ADJACENT, 58:HE88;GARAGE SITE BETWEEN, 6466:HEIJ;GARAGE SITE REAR OF, 232:JBBC;GARAGE SITE REAR OF, 3448:ICRD;GARAGES FOR, 3133:F1WB;
Lydgate Place	Calverley	LS28	53.8307	-1.6930	1:F99P;2:F9IV;3:F99M;4:LGXM;5:F121;6:F99C;7:F1O4;8:G4FA;10:FW1K;11:M6UJ;15:LVU5;17:JQLQ;LYDGATE HOUSE, 9:F1OD;
Lydgate Street	Calverley	LS28	53.8300	-1.6934	1:G4P5;2:F1OE;3:FUZ0;5:FUYU;6:FUYV;7:G4FR;
Lyme Chase	Seacroft	LS14	53.8075	-1.4729	1:IWTL;2:IVSA;3:IVSI;4:IVSK;5:GNJZ;6:IVS4;7:IVS5;8:GNJX;9:IVSN;10:IVT2;11:IVSZ;12:GNK7;13:MD84;14:IVST;15:IVSP;16:LQJE;17:IVM3;18:IVM7;19:IVMA;20:IVME;21:IVLQ;22:IVLU;23:IVLY;24:MD85;25:IVMW;26:IVN0;27:IVN4;28:MD86;29:IVMH;30:IVML;31:IVMP;32:IVMU;33:HL7H;34:HL7I;35:HL7J;37:HL7F;39:IZM4;41:IZM7;43:IZMA;45:IZM8;47:IUKR;
Lyndale	Kippax	LS25	53.7641	-1.3760	1:DZ64;2:JBHA;3:DZ6P;4:E8JF;5:DY11;6:DY0X;7:DY0T;8:DY0W;9:DZ18;10:DZ12;11:DZ1A;12:IF46;13:IF47;14:DY0L;15:DY0N;16:IF49;20:DY0J;
Lyndhurst Close	Scholes	LS15	53.8286	-1.4266	1:J0TY;2:K1RD;3:GXU9;4:FWB9;5:J0YH;6:JAUB;7:J0YC;8:JAUC;9:J1MS;10:J1MQ;11:J1MV;12:FWBA;14:K21J;15:K21C;16:K21B;
Lyndhurst Crescent	Scholes	LS15	53.8279	-1.4289	2:DDGH;3:JE5I;4:K211;5:K217;6:J0Y8;7:J0Y5;8:J0YA;9:FWBI;10:J532;11:J4T2;12:J4SZ;14:L09B;15:L097;16:L094;17:J4TI;18:J4TH;19:J4TD;20:J4TJ;21:J4T7;22:J4T5;23:LG5B;24:L08I;25:KYJU;26:L08B;27:L088;28:L092;29:L090;30:L08Y;31:L093;33:L08S;35:L08P;37:LFTK;39:E7KZ;41:J52T;
Lyndhurst Road	Scholes	LS15	53.8276	-1.4288	1:J52W;2:J52V;4:J538;5:J53D;6:J53A;7:J539;8:J536;9:IGFY;10:J4TY;11:J4TW;12:J4TT;14:J4TQ;15:J4TO;16:E7KY;17:FWB3;18:IGFT;19:J52O;20:IGFS;21:J52L;22:K43U;23:K43R;24:K43O;26:K43V;27:K3E0;28:K441;29:K447;30:K443;31:K442;32:K440;33:K43Z;34:K448;35:JB49;36:GSSL;37:J1Y9;38:J1YC;39:K3DX;40:K3DW;41:K3DT;42:J1YN;43:J1YK;44:J1YA;46:IIVZ;48:IIVY;50:K458;
Lyndhurst View	Scholes	LS15	53.8273	-1.4261	1:K457;2:K455;3:IIW3;4:K4EV;5:IIW2;6:E7LP;7:K45I;8:HTIW;9:K45G;10:K4EW;11:K44M;12:K44I;
Lyndon Avenue	Bramham	LS23	53.8837	-1.3559	1:IMA5;2:IM9X;3:ILK7;4:IOCM;5:LFBM;6:ILCX;7:IO2V;8:IOC3;9:ILCT;10:ILD7;11:IOCL;12:IMB7;13:ILC9;14:ILCK;15:GTQK;16:IMKQ;17:IMBA;18:INKJ;19:INB2;20:EXTW;21:IKDX;22:IO93;23:IKDN;24:IKDR;25:IKDU;26:IO9K;27:IO9T;28:IO9R;29:IO9B;30:IO9A;31:IO9E;32:IKDD;33:IK43;34:IK40;35:LULT;36:IK3X;37:IK3U;38:IK3Q;39:IKDE;40:GXMP;41:IKDJ;42:IK4H;44:IK4G;GARAGE SITE ADJACENT TO 2:ILY1;GARAGE SITE REAR OF, 1115:M6P5;
Lyndon Avenue	Garforth	LS25	53.7931	-1.3911	1:FJ4N;2:FFNH;3:IEXB;4:FJ4O;5:FJFF;6:FGBX;7:FGCJ;8:FKQZ;9:GR9N;10:FKQL;11:FVTC;12:FJ9G;13:FJ9Q;14:FGGY;15:FKQ4;16:GCMQ;17:GCD1;18:GCD0;19:FKQB;20:FKQD;21:GCMS;22:GCN3;23:FHT4;24:FJLF;25:FGRP;26:FHSY;27:FKMO;28:FKMZ;29:FKM7;30:FKMG;31:FJAI;32:JH3W;33:FJA3;34:FGQS;35:FGRH;35:LJDB;36:FVTL;37:FGR2;37:IJ5B;38:IJ57;39:FJ9Y;40:GR9S;41:FKMC;42:FKMY;43:FJLM;44:FGRQ;45:FHT7;46:GCN0;47:FKQE;48:LROW;49:FKOT;50:GCMC;51:FKMH;52:FJ9L;53:FKQU;54:FKQQ;55:FKR1;56:GSFZ;57:FJFA;58:FKN7;59:LJCE;60:FI48;61:FJFP;62:FGC9;63:FFNK;64:FFNQ;65:GV48;66:K565;68:K56B;70:IIXH;72:K02Y;74:GVI5;76:J2R7;78:J2R0;80:K55Q;82:J15Q;84:K02X;86:FXRX;88:JZY9;
Lyndon Close	Bramham	LS23	53.8845	-1.3576	1:FM1D;2:EUXM;3:EUXL;4:E6PZ;5:EUXO;6:JAWF;7:FM1M;8:FM1K;9:FM1J;10:FM1H;11:JAWD;12:E6Q4;14:IFD8;15:EUX7;17:EUX6;19:FL1N;21:FL1G;
Lyndon Crescent	Bramham	LS23	53.8836	-1.3575	1:I0N0;2:I0MZ;3:E5RS;4:I0MX;5:I0MW;6:I0MV;7:I0MU;8:I0N1;9:I0MS;10:I0MR;
Lyndon Road	Bramham	LS23	53.8852	-1.3559	11:LUWC;12:I0MT;13:HPV5;14:I0NC;15:I0NB;16:HPV6;17:I0NA;18:M7MF;19:I0ND;20:E5RT;21:I0N5;21:I0N6;22:I0N4;23:I0N3;24:I0N8;25:I0MO;26:I0CO;27:I0CN;28:I0CL;30:I0CK;32:I0CI;34:HPUH;35:I0M4;36:HZLC;37:LUVY;38:HN3I;39:E5RQ;40:HZC2;41:I0CH;42:M7ME;43:I0MK;44:I0M5;45:I0MJ;46:I0MF;47:I0MH;48:I0MD;49:HPV4;50:I0MC;51:I0MA;52:I0OL;53:I0M9;54:I0N2;55:I0M7;56:H4RM;57:I0M6;58:H4RL;59:H4IG;60:M7M6;61:H4I5;62:H4ID;63:LPUI;64:GT9S;65:H4IA;66:H4I9;68:H4I7;70:I0OK;CAMELOT:ILK8;LINDISFARNE:E5RR;ROSE CROFT:I0MP;STONELEA:I0MQ;
Lyndon Square	Bramham	LS23	53.8845	-1.3565	1:H4IE;2:E5RV;3:I0OO;4:I0ON;5:I0OM;6:M7MG;7:JHNH;8:HO2E;9:HPV9;10:I0OJ;11:HO2D;12:E5RU;13:I0OG;14:I0NE;15:H4I6;16:H8RI;
Lyndon Way	Bramham	LS23	53.8852	-1.3575	1:HQAG;2:E6Q3;3:FL1J;4:EUXD;5:M0UK;6:EUXI;7:EUXH;
Lyndum Grove	Kippax	LS25	53.7714	-1.3763	1:FSU0;2:JKSA;3:JKRJ;4:JKRR;
Lynnfield Gardens	Scholes	LS15	53.8270	-1.4285	1:K449;2:K44V;3:K452;4:K451;5:K44X;6:K44U;7:HTIV;8:K45E;9:K2RH;10:K2RC;11:HTIC;12:FWBC;13:J1X1;14:E7L6;15:K2RW;16:K2RT;17:K2RJ;18:K2RM;19:FWBK;20:J1WR;21:J1WI;22:J1WE;23:J1WA;24:J1W7;25:J1WQ;1 THE VILLAS:MFX2;2 THE VILLAS:MFX3;3 THE VILLAS:MEZL;4 THE VILLAS:MEZM;GRANNY ANNEXE 4 THE VILLAS:O4A0;THE BUNGALOW, 1:K44D;
Lynton Avenue	Boston Spa	LS23	53.9062	-1.3475	3:LEZK;22:K782;AKENWAY, 10:KABU;ARNCLIFFE:DVEP;AVONDALE:E4R7;AYSGARTH:EQ5S;BEECHCROFT:DVEU;ELMHURST:EUGS;HILLSIDE HOUSE:J7HO;IVANHOE:KA2Z;LYNDENE:ER3X;LYNWOOD, 26:K783;MORNINGSIDE, 1:E5QJ;RIGADOON:E4Q7;RIVERSMEAD:LSYD;SONRISE:DVE3;WEIRCROFT, 24:EUGG;WHARFEDALE HOUSE, 2:EQFX;WHARFEDALE:DVO7;WOODMERE, 4:LUH5;
Lynton Avenue	Thorpe	BD10	53.8340	-1.7285	1:H0CB;2:HT04;3:GYY1;4:H1Y6;5:H1YM;6:H1YG;7:GYXV;8:HX29;9:HX23;10:H1NE;11:HX1K;12:HX1V;13:HX22;15:H1WV;17:H1WY;19:H1NQ;21:H1NN;23:H1NT;LYNTON HOUSE, 1:KDNZ;
Lynwood Avenue	Lower Wortley	LS12	53.7836	-1.5865	1:LKU2;2:IVLK;3:IUKI;4:HL7L;5:IUKO;6:IUKK;7:JYDV;
Lynwood Avenue	Woodlesford	LS12	53.7836	-1.5865	1:HZXV;2:IXZL;3:M34C;4:IXZE;5:I3Y3;6:I3XZ;7:IXZY;8:LDE9;9:I2MU;10:I2N6;11:I2N4;12:M34J;13:I2NA;14:I2N2;15:I2MW;16:IVCT;17:IVCQ;18:IVCK;19:I1BE;20:I1BG;21:IVD1;22:M33Z;23:I1AK;24:M33Y;25:I1AG;26:IZND;27:IZN9;28:JHNI;29:I2D6;30:I2D9;31:I1CA;32:M341;33:I2MJ;34:I2DD;35:I2MN;36:I1BP;37:HO35;38:I1BK;39:I1C4;40:I1C7;41:I10X;43:HZR9;45:I288;
Lynwood Crescent	Lower Wortley	LS12	53.7849	-1.5856	1:FVLQ;2:FVL8;3:H2QS;4:H2RF;5:H2R2;6:GYSD;7:GYSS;8:HUCM;9:FVL4;10:HVVD;11:LW3D;12:HVKB;14:FS1F;15:H0BJ;16:HX5B;17:GR49;18:H2QD;19:HX5J;20:FSBS;21:H1O6;22:H1O8;23:H1OI;24:H2OT;25:H1OJ;26:HVVN;27:H1EP;28:H1EK;29:FQF6;30:FVL6;31:H2PA;32:HX5C;33:H2PI;34:H0BM;35:H0BT;36:GZ29;37:LX03;38:H1DK;39:HVVH;40:HVV8;41:H1CV;42:GR3K;43:HUCI;44:FU98;45:FU9B;47:FU9D;49:GYSJ;51:HUCV;53:H2R9;55:H2R7;57:FT9W;57:H2QP;59:H2R1;61:GYRG;63:FU91;65:HYG1;67:HYFN;PEAR TREE HOUSE, 35:FVLL;
Lynwood Crescent	Woodlesford	LS12	53.7849	-1.5856	1:I00M;2:HR2H;3:LQLU;4:HZR4;5:H5IQ;6:I28A;7:I28N;8:I28Y;9:I28U;10:I28X;11:I28L;12:I289;13:I28J;14:H5HY;15:H5I2;16:H5HZ;17:H5I7;18:GMKX;19:H5HW;20:GMKV;21:M33G;23:H5IL;25:H5IK;27:H5IH;29:M33H;31:H5ID;33:GMKZ;35:GML0;37:H5IF;39:I298;41:I2AD;43:I2JS;45:GN8W;47:HR35;49:I2A9;51:GN8T;53:I2A3;55:I2A0;FLAT 1 ESHALD MANSION:L8Y6;FLAT 2 ESHALD MANSION:J62P;FLAT 3 ESHALD MANSION:E7CR;FLAT 4 ESHALD MANSION:L8Y7;FLAT 5 ESHALD MANSION:K8N5;FLAT 6 ESHALD MANSION:K8N6;FLAT 7 ESHALD MANSION:K8N7;FLAT 8 ESHALD MANSION:KD18;FLAT 9 ESHALD MANSION:M7NB;
LYNWOOD GARDENS					1:JD7Q;2:HJ8V;3:HJ8X;4:HJ90;5:IDIX;6:JBE6;7:IDJ7;8:LUIM;9:IDJ5;10:JBE4;11:IDIJ;11:MI0E;12:IDIN;14:IDIS;15:IDIT;16:IDII;17:IDJM;18:JBEE;19:LUIN;20:IDT1;21:JBEG;22:IDJE;23:IDJ9;24:IDJB;26:IDJD;
Lynwood Garth	Lower Wortley	LS12	53.7855	-1.5878	1 SIMON MARKS COURT:GY51;10 SIMON MARKS COURT:JSOQ;11 SIMON MARKS COURT:JSOR;12 SIMON MARKS COURT:L94A;14 SIMON MARKS COURT:JSOY;15 SIMON MARKS COURT:E0WR;16 SIMON MARKS COURT:JSOX;17 SIMON MARKS COURT:GMH4;18 SIMON MARKS COURT:LFAS;19 SIMON MARKS COURT:LX8D;2 SIMON MARKS COURT:JSOT;20 SIMON MARKS COURT:KEAD;21 SIMON MARKS COURT:GMH3;22 SIMON MARKS COURT:KAP6;23 SIMON MARKS COURT:JSOW;24 SIMON MARKS COURT:KODU;25 SIMON MARKS COURT:L94C;26 SIMON MARKS COURT:LJPU;27 SIMON MARKS COURT:E148;28 SIMON MARKS COURT:KODQ;29 SIMON MARKS COURT:KODV;3 SIMON MARKS COURT:FWKX;30 SIMON MARKS COURT:KODT;31 SIMON MARKS COURT:KODS;32 SIMON MARKS COURT:KODR;33 SIMON MARKS COURT:M539;34 SIMON MARKS COURT:GLDS;35 SIMON MARKS COURT:KEAC;36 SIMON MARKS COURT:JSOM;37 SIMON MARKS COURT:JSOK;38 SIMON MARKS COURT:L96L;39 SIMON MARKS COURT:JSOP;4 SIMON MARKS COURT:JSOS;40 SIMON MARKS COURT:KOE0;41 SIMON MARKS COURT:K65L;42 SIMON MARKS COURT:GLDU;43 GUARDIAN MEWS:FWLE;44 GUARDIAN MEWS:GMFZ;45 GUARDIAN MEWS:KQJX;46 GUARDIAN MEWS:GMAQ;47 GUARDIAN MEWS:KQJU;48 GUARDIAN MEWS:GMAP;49 GUARDIAN MEWS:KQJR;5 SIMON MARKS COURT:L94B;50 GUARDIAN MEWS:LFEN;51 GUARDIAN MEWS:KQJO;52 GUARDIAN MEWS:KQJM;53 GUARDIAN MEWS:KQJL;54 GUARDIAN MEWS:KQJI;55 GUARDIAN MEWS:GMAO;56 GUARDIAN MEWS:JPOH;57 GUARDIAN MEWS:JPOE;58 GUARDIAN MEWS:LJFB;59 GUARDIAN MEWS:KRJY;6 SIMON MARKS COURT:GMH2;60 GUARDIAN MEWS:KAXD;61 GUARDIAN MEWS:JPOI;62 GUARDIAN MEWS:KRJR;63 GUARDIAN MEWS:KRJO;64 GUARDIAN MEWS:FWL6;7 SIMON MARKS COURT:HP95;8 SIMON MARKS COURT:GMH1;9 SIMON MARKS COURT:LOA2;SIMON MARKS COURT:JSOU;
Lynwood Grove	Lower Wortley	LS12	53.7835	-1.5852	1:HYFZ;2:G19S;3:FVKQ;4:GPL4;5:G04W;6:G04P;7:G0ZF;8:G0ZE;
Lynwood Mount	Lower Wortley	LS12	53.7843	-1.5864	1:G0ZK;2:G19F;3:G0ZT;5:G3ZY;6:HR0A;
Lynwood Rise	Lower Wortley	LS12	53.7849	-1.5856	1:FM5M;2:FLWV;3:FLWU;4:FLWM;5:FLWS;6:FLWR;7:FLWQ;8:FLWP;9:FLWO;10:FLWN;11:FM5S;12:FLWT;14:FOGF;15:FOGE;16:FOGD;17:FWLL;18:FOGC;19:FM5T;20:FOGG;21:FM5R;22:FXCD;24:FM5Q;
Lynwood View	Lower Wortley	LS12	53.7848	-1.5876	1:G40F;2:GOL4;3:G3YR;4:FVKZ;5:G04Z;6:G3ZG;7:G3Z1;8:FT2M;9:FSE9;10:GZTJ;10:GZUB;11:FSED;12:GZU8;14:GZJF;15:H21L;16:GZTB;17:GZJR;18:G55M;19:FVKP;20:G55E;21:G567;22:G562;23:G3BM;24:G3BU;25:G3BD;
