Loxley Grove	Wetherby	LS22	53.9409	-1.3923	1:FHSM;2:FHSN;3:FHSP;4:IEX5;5:FHSR;6:FHSS;7:FISO;8:FISQ;
Lulworth View	Austhorpe	LS15	53.8010	-1.4442	1:KV39;2:F3O3;3:HLGJ;4:KV2R;5:HPA3;6:KV2Q;7:KV32;8:HLL4;9:LUOJ;10:JZFO;11:JZFS;12:JZF9;14:F3F4;15:JZFF;16:JZFI;17:JZG6;18:JZGD;19:JZGA;21:JZGB;
Lulworth Walk	Austhorpe	LS15	53.8015	-1.4411	1:JZFV;2:F3F5;3:JZG0;4:JZG3;5:KTRC;6:JZ5K;7:JZ5F;8:JZ5I;9:KV4M;10:LZOP;11:KV4S;12:KTR8;14:JZ5Z;15:GQNA;16:JZ66;17:JZ5Q;18:F3F3;19:JZ5W;20:JZ5S;21:HKB5;22:IYGJ;24:IYGN;
Lumb Bottom	Drighlington	BD11	53.7593	-1.6535	20:L55W;24:ELKF;26:ELKG;28:ELKH;30:ELKJ;32:L7FV;34:ELKK;36:ELKM;44:L7FT;46:ELJY;48:ELJZ;50:ELK0;52:L7FU;54:MFDD;40 CONEYCROFT:ELKN;42 CONEYCROFT:IFNG;THE OLD PIGGERY 38 CONEYCROFT:NOLV;
Lumb Hall Way	Drighlington	BD11	53.7592	-1.6552	1:GZDE;2:MBZE;3:L8SE;4:FLVV;5:E08Y;6:KSBH;7:E08Z;8:JCVL;9:E090;10:K679;11:E091;12:KTBO;14:IH7K;15:E092;16:GZDG;17:K7BS;18:L8RU;19:K7BT;20:MFCG;21:E09L;22:EHG3;23:MBZP;24:H201;25:L625;26:H298;27:L626;29:KAYJ;31:L399;33:L39A;35:GZD9;37:M8IW;39:H29C;
Lumby Close	Pudsey	LS28	53.7880	-1.6550	1:HO2G;2:M55Q;3:HO2F;4:I0OP;5:H4IC;6:H4I8;7:H4IB;8:I0OF;9:H4IF;10:H4RK;11:H4RN;12:LOSQ;14:I0M8;15:I0MB;16:I0MM;17:I0MG;18:I0MI;20:I0ML;
Lumby Garth	East Keswick	LS17	53.8962	-1.4543	1:EQLV;2:EQLU;3:EQLZ;4:EQCD;
Lumby Lane	Pudsey	LS28	53.7883	-1.6554	1:L5R1;2:GHVV;3:GHVP;4:HF2R;5:LVYB;6:HF33;7:MFR6;8:LVDU;9:HF2Y;11:HSX9;15:NI9Z;17:NI9Y;19:NI9X;21:NIA6;23:NIA7;25:NIA8;26:KA66;28:HGS8;30:HGSB;32:HGSL;35:HGSM;37:LPJT;41:HI9I;43:HI9B;45:LLYZ;47:HI99;49:HI8U;51:HI8W;53:HI8O;55:HHB5;57:JAB5;59:HHBG;61:HHBE;63:HHBP;65:HHBN;2224:HGT5;BOARDING KENNELS, 13:HGT7;GARAGE SITE ADJACENT TO 65:HHBK;GARAGE SITE REAR OF:HI97;TOP FLOOR FLAT, 1:L8PN;
Lumby Lane	East Keswick	LS17	53.8965	-1.4548	LINDEN HOUSE:KAQ1;THE HERMITAGE:ILCL;
Lumley Avenue	Burley	LS4	53.8120	-1.5801	1:J9TT;2:IYGQ;3:IYGO;4:IYG5;5:IYGG;6:IYGC;7:JW4J;8:M6CL;9:JW4I;10:JW4M;11:HM5Q;11:IYGX;12:M2YZ;15:IYH4;17:JX5V;19:JXTO;ROOM 1, 1:O1V4;ROOM 1, 10:O1VF;ROOM 1, 11:O1VA;ROOM 2, 1:O1V5;ROOM 2, 10:O1VG;ROOM 2, 11:O1VB;ROOM 3, 1:O1V6;ROOM 3, 10:O1VH;ROOM 3, 11:O1VC;ROOM 4, 1:O1V7;ROOM 4, 10:O1VI;ROOM 4, 11:O1VD;ROOM 5, 1:O1V8;ROOM 5, 10:O1VJ;ROOM 5, 11:O1VE;ROOM 6, 1:O1V9;ROOM 6, 10:O1VK;
Lumley Grove	Burley	LS4	53.8131	-1.5818	1:JXTS;2:JXTP;3:HMN1;4:JX5N;5:HMN3;6:JXTV;7:JXUE;8:JXUB;10:IY6T;
